LOADING_MAP_SPRITES;Loading Map Sprites...;x
LOADING_GUI_DEF;Loading GUI Definitions...;x
LOADING_DATABASES;Loading Databases...;x
LOADING_DATABASES2;Loading Databases II...;x
INIT_MAP_LOGIC;Initialising Maplogic...;x
LOADING_HISTORY;Loading History Files...;x
LOAD_EVENTS;Loading Events...;x
LOADING_SOUNDS;Loading Sounds...;x
LOAD_FLAGS;Loading Flags...;x
LOAD_GFX;Loading Graphics...;x
MAP_PROPERLY_INIT;Map Properly Initialised...;x
ADAPTING_HISTORY;Adapting History...;x
EXECUTING_HISTORY;Executing History...;x
CREATING_CHKSUM;Creating Checksum...;x
CREATING_THE_WORLD;Creating the World...;x
CREATING_TREES;Creating Trees...;x
CREATING_BORDERS;Creating Borders...;x
CREATING_RIVERS;Creating Rivers...;x
PROC_FLAGS;Processing Flags...;x
CREATING_PROVINCE;Creating Province #;x
CREATING_TEXTS;Creating Texts....;x
CALC_PATHS;Calculating Paths...;x
FE_SINGLE_PLAYER;Singleplayer;x
FE_MULTI_PLAYER;Multiplayer;x
FE_OPTIONS;Settings;x
FE_EXIT;Exit;x
SM_SETTINGS;Settings;x
SM_APPLY;Apply;x
SM_BACK;Back;x
SM_GAME;Game;x
SM_AUTOSAVE_INTERVAL;Autosave Interval;x
NEVER;Never;x
MONTHLY;Monthly;x
HALFYEAR;Half Year;x
YEARLY;Yearly;x
FIVE_YEAR;Five Years;x
DIFFICULTY_LABEL;Difficulty;x
DIFF_VERY_EASY;Very Easy;x
DIFF_EASY;Easy;x
DIFF_NORMAL;Normal;x
DIFF_HARD;Hard;x
DIFF_VERY_HARD;Very Hard;x
SM_COUNTERDISTANCE;Counter Distance;x
SM_SHORTCUT;Shortcut Tooltips;x
SM_VIDEO;Video;x
SM_RESOLUTION;Resolution;x
SM_WINDOW;Window Mode;x
SM_WINDOWED;Windowed;x
SM_FULLSCREEN;Fullscreen;x
SM_BORDERLESS;Borderless;x
SM_REFRESH_RATE;Refresh Rate;x
SM_MULTISAMPLE;Multisample Level;x
SM_GAMMA;Gamma;x
SM_DETAILS;Details;x
SM_WATER;Advanced Water;x
SM_AUDIO;Audio;x
SM_MASTER_VOLUME;Master Volume;x
SM_EFFECT_VOLUME;Effect Volume;x
SM_MUSIC_VOLUME;Music Volume;x
SM_CONTROLS;Controls;x
SM_SCROLL_SPEED;Scroll Speed;x
SM_ZOOM_SPEED;Zoom Speed;x
SM_WP;Error writing to the settings-file. Check that the file is not write protected and try again;x
RESTART_REQ;Restart Required;x
RESTART_REQ_DESC;You must restart the game for these changes to take effect.;x
WORLD_YEAR;The World, $YEAR$ AD;x
FE_SELECT_NATION;Click on the map to select a nation...;x
FE_PLAYABLE_COUNTRIES;Playable Countries;x
FE_COUNTRY;Country;x
FE_RANK;Rank;x
FE_PRESTIGE;Prestige:;x
FE_INDUSTRY;Industry:;x
FE_MILITARY;Military:;x
FE_POP;Population:;x
FE_WARS;Wars:;x
FE_ALLIES;Allies:;x
COUNTRY_PUPPETS_LIST;Puppets:;x
FE_NUM_PLAYERS;Number of Players: $NUM$;x
FE_PLAYER;Player;x
FE_BACK;Back;x
PLAY;PLAY;x
PRODUCTION;Production;x
TOPBAR_TOP5_GOODS;Our top 5 domestic produced goods are:;x
PRODUCTION_FACTORIES;Factories;x
PRODUCTION_TAB_FACTORIES;Overview of all factories in our country;x
PRODUCTION_TOGGLE_FILTER_TOOLTIP;Shows/hides factories which rely on or produce $GOODS$;x
PRODUCTION_SELECT_ALL;Select All;x
PRODUCTION_SELECT_ALL_TOOLTIP;Selects all filters;x
PRODUCTION_DESELECT_ALL;Deselect All;x
PRODUCTION_DESELECT_ALL_TOOLTIP;Deselects all filters;x
PRODUCTION_SHOW_EMPTY_STATES;Show Empty States;x
PRODUCTION_HIDE_EMPTY_STATES;Hide Empty States;x
PRODUCTION_SHOW_EMPTY_TOOLTIP;Shows/hides states with no displayed factories;x
PRODUCTION_SORT_BY_NAME;Name;x
PRODUCTION_SORT_BY_NAME_TOOLTIP;Sort by state name;x
PRODUCTION_SORT_BY_FACTORIES;Factories;x
PRODUCTION_SORT_BY_FACTORIES_TOOLTIP;Sort by number of factories;x
PRODUCTION_SORT_BY_AVAILABLE_WORKFORCE_TOOLTIP;Sort by unemployed §Y$TYPE$§W;x
PRODUCTION_SORT_BY_AVG_INVESTORS_TOOLTIP;Sort by average §Y$TYPE$§W in state;x
PRODUCTION_SORT_BY_INFRA;Infrastructure;x
SORT_BY_INFRA;Sort by average state infrastructure;x
