EVTOPTA91302;Great!;x
CRS_anarcho_liberal;Fazzione Anarchistu;x
EVTOPTA31100;Fascinating!;x
RYU_liberal;Liberal Party;x
colonial_railroad_nerf4;Colonial Railroad Nerf;x
POP_IMPACT_UNITVIEW;Due to losses in the reserves, this unit reinforces at §Y$VAL$%§W speed.;x
EVTNAME4410;God is Dead;x
CRISIS_OFFER_WE_ACCEPT_2;We have joined $ACTOR$ in the current crisis with the following offer:;x
TSW_ADJ;Tswana;x
EVTNAME19356;A war to end all wars;x
HLS_socialist_2;Sozialdem. Arbeiterpartei ;x
CMS_conservative;Comorian Democratic Union;x
IS_MOBILIZED_IRO;(Reserves are Mobilised);x
EVTNAME31310;The Red Cross;x
EVTDESC46302;Francisco Sabino, a military officer, launched a radical revolt in Bahia, calling for the end of slavery and the redistribution of land.;x
EVTDESC23401;As the idea of the Olympics originated in our sacred soil, the International Olympic Committee has invited our government to organize the first Olympic Games of the modern era. Should we accept the offer?;x
gtfo_LUZ_desc;We've had a good run, but it's time to end our rulership of Lusatia: if you love something, let it go!;x
REMOVE_OL_VIEW_HOSTILE_SIEGES;Toggles §YHostile Siege§W view.;x
EVENTHAPPENUS_MAP;*;x
uninstall_communist_gov_cb_desc;Uninstall the communist government.;x
POP_PRODUCER_MARKET;This Producer;x
ECONOMICREFORM_2;$MONARCHTITLE$, we have now enacted;x
EVTOPTA18100;Stall the issue until the next election;x
NAVALATTACKTHEM_4;An enemy fleet consisting of ships from $DEFENDER$ will be destroyed by;x
BKF_ADJ;Voltaic;x
NAVALATTACKTHEM_BTN3;Goto;x
ASKMILITARYACCESSTITLE;Request Military Access;x
australian_independence_title;The Australian Constitution;x
EVTDESC36932;With this work, Edward Elgar became a composer of international renown. His body of choral and symphonic work revived the classical form in Great Britain.;x
kiwi_constitution_short;New Zealand has been released!;x
no_foreign_officers;Local Officer Training;x
EVTOPTB12230;Give them the radios;x
EVTDESC14730;And when we consider the injustices, wrought by representatives of $COUNTRY$ in the colonies, we will not be surprised to find that '$COUNTRY_ADJ$', in those many places, far beyond our country's shores, has become a byword for theft, larceny and murder. Our message here today is loud and clear: $COUNTRY$! Quit the colonies!'\n\nAn Anti-Colonial League has been formed by $COUNTRY_ADJ$ radicals. Ostensibly dominated by intellectuals arguing the cause of colonial independence, reports from our Secret Police make it evident that the League is intimately connected with the Socialist Internationale.;x
low_envir;Some Standards;x
underground_railroad;Underground Railroad;x
gtfo_BEN_title;Grant Benin Independence;x
opium_war;Opium War;x
EVT91737OPTH;Change province to produce Opium.;x
